,movies,rating,year,country,genr,director,actor
199,地球上的星星,8.9,2007,印度,剧情 儿童 家庭, 阿米尔·汗 Aamir Khan, 达席尔·萨法瑞 Darsheel Safary / 阿...
200,惊魂记,8.9,1960,美国,悬疑 惊悚 恐怖, Alfred Hitchcock, Janet Leigh / Anthony Perkins / Vera Miles
201,青蛇,8.5,1993,香港,剧情 爱情 奇幻 古装, 徐克 Hark Tsui, 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...
202,疯狂的石头,8.4,2006,中国大陆 香港,喜剧 犯罪, 宁浩 Hao Ning, 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin
203,一次别离,8.7,2011,伊朗 法国,剧情 家庭, 阿斯哈·法哈蒂  Asghar Farhadi, 佩曼·莫阿迪 Peyman Moadi /...
204,追随,8.9,1998,英国,犯罪 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan, 杰里米·西奥伯德 Jeremy...
205,天书奇谭,9.1,1983(中国大陆) / 2019(中国大陆重映),中国大陆,动画 奇幻, 王树忱 Shuchen Wang / 钱运达 Yunda Qian, 丁建华 Jianhua Din...
206,终结者2：审判日,8.6,1991,美国 法国,动作 科幻, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...
207,源代码,8.4,2011,美国 加拿大,科幻 悬疑 惊悚, 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal / ...
208,初恋这件小事,8.3,2010,泰国,剧情 喜剧 爱情, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,None
209,步履不停,8.8,2008,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe / 夏川结衣 Yu...
210,小萝莉的猴神大叔,8.5,2015,印度,剧情 喜剧 动作, 卡比尔·汗 Kabir Khan, 萨尔曼·汗 Salman Khan / 哈莎莉·马...
211,新龙门客栈,8.5,1992,香港 中国大陆,动作 爱情 武侠 古装, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung / 林青霞 Brigitte ...
212,再次出发之纽约遇见你,8.5,2013,美国,喜剧 爱情 音乐, 约翰·卡尼 John Carney, 凯拉·奈特莉 Keira Knightley / 马克...
213,撞车,8.6,2004,美国 德国,犯罪 剧情, 保罗·哈吉斯 Paul Haggis, 桑德拉·布洛克 Sandra Bullock / ...
214,爱在午夜降临前,8.8,2013,美国 希腊,剧情 爱情, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...
215,梦之安魂曲,8.7,2000,美国,剧情, 达伦·阿伦诺夫斯基 Darren Aronofsky, 艾伦·伯斯汀 Ellen Bur...
216,海蒂和爷爷,9.1,2015,德国 瑞士 南非,剧情 冒险 家庭, 阿兰·葛斯彭纳 Alain Gsponer, 阿努克·斯特芬 Anuk Steffen /...
217,无耻混蛋,8.5,2009,美国 德国,剧情 犯罪, Quentin Tarantino, 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...
218,东京物语,9.2,1953,日本,剧情 家庭, 小津安二郎 Yasujirô Ozu, 笠智众 Chishû Ryû / 原节...
219,城市之光,9.3,1931,美国,喜剧 剧情 爱情, Charles Chaplin, 查理·卓别林 Charles Chaplin / 弗吉尼亚·...
220,绿里奇迹,8.7,1999,美国,犯罪 剧情 奇幻 悬疑, Frank Darabont, 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...
